chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000018,BR_00000001,8,0030123143-000040,0030123143-000040,0030123143-000040,BR_00000006,normal_real,67.97,1430.0,0.65,830.0,850.0,SCG4+Z,,,,,,,117,05,2026-06-30
initial-000018,BR_00000001,9,0002002180-000280,0002002180-000280,0002002180-000280,BR_00000006,normal_real,20.0,1390.0,0.65,830.0,850.0,DC53D+Z,,,,,,,118,05,2026-06-30
initial-000018,BR_00000001,10,0030122759-000030,0030122759-000030,0030122759-000030,BR_00000006,normal_real,88.0,1374.0,0.75,830.0,850.0,CR3,,,,,,,119,05,2026-06-30
initial-000018,BR_00000001,11,0030124735-000060,0030124735-000060,0030124735-000060,BR_00000006,normal_real,24.0,1360.0,0.8,820.0,840.0,DX53D+Z,,,,,,,120,05,2026-06-30
initial-000018,BR_00000001,12,0002002184-000010,0002002184-000010,0002002184-000010,BR_00000006,normal_real,23.0,1354.0,0.65,830.0,850.0,DC56D+Z,,,,,,,121,05,2026-06-30
initial-000018,BR_00000001,13,0030123255-000010,0030123255-000010,0030123255-000010,BR_00000006,normal_real,92.0,1350.0,0.6,820.0,840.0,HC180BD+Z,,,,,,,122,05,2026-06-30
initial-000018,BR_00000001,14,0002002176-000240,0002002176-000240,0002002176-000240,BR_00000006,normal_real,69.0,1335.0,0.65,820.0,840.0,DC53D+Z,,,,,,,123,05,2026-06-30
initial-000018,BR_00000001,15,0030123141-000020,0030123141-000020,0030123141-000020,BR_00000006,normal_real,100.0,1330.0,0.65,830.0,850.0,SCG4+Z,,,,,,,124,05,2026-06-30
initial-000018,BR_00000001,16,0002002162-000110,0002002162-000110,0002002162-000110,BR_00000006,normal_real,24.0,1305.0,0.65,830.0,850.0,DC53D+Z,,,,,,,125,05,2026-06-30
initial-000018,BR_00000001,17,0002002170-000340,0002002170-000340,0002002170-000340,BR_00000006,normal_real,23.0,1280.0,0.65,830.0,850.0,DC54D+Z,,,,,,,126,05,2026-06-30
initial-000018,BR_00000001,18,0030122897-000100,0030122897-000100,0030122897-000100,BR_00000006,actual_transition,96.0,1250.0,0.75,700.0,840.0,DC51D+Z,,,,,,,127,05,2026-06-30
initial-000018,BR_00000001,19,0030124081-000010,0030124081-000010,0030124081-000010,BR_00000006,actual_transition,48.0,1250.0,0.75,700.0,840.0,DC51D+Z,,,,,,,128,05,2026-06-30
initial-000018,BR_00000001,20,0030124824-000030,0030124824-000030,0030124824-000030,BR_00000006,normal_real,37.29,1250.0,0.75,730.0,750.0,DX51D+Z,,,,,,,129,05,2026-06-30
initial-000018,BR_00000001,21,0010019881-000010,0010019881-000010,0010019881-000010,BR_00000006,actual_transition,24.0,1250.0,0.8,700.0,840.0,DC51D+Z,,,,,,,130,05,2026-06-30
initial-000018,BR_00000001,22,0010019881-000020,0010019881-000020,0010019881-000020,BR_00000006,actual_transition,24.0,1250.0,0.95,700.0,840.0,DC51D+Z,,,,,,,131,05,2026-06-30
initial-000018,BR_00000001,23,0030124871-000020,0030124871-000020,0030124871-000020,BR_00000006,normal_real,20.0,1250.0,1.15,710.0,730.0,DX51D+Z,,,,,,,132,05,2026-06-30
